Date,Time,Area,Site,Plot,Depth (cm),Sample ID,SampleName,SampleID,F-ppm,Cl-ppm,NO3N-ppm,Br-ppm,SO4-ppm,PO4-P-ppm,ICNotes
26-Jul-22,11:21,West,Dry,1,20,PhIr2022_112B,112,PhIr2022-112,0.101,20.105,,0.011,19.188,0,
26-Jul-22,11:27,West,Dry,2,20,PhIr2022_113B,113,PhIr2022-113,0.082,14.649,0.035,0.011,8.56,0,
26-Jul-22,12:16,West,Mesic,1,20,PhIr2022_114B,114,PhIr2022-114,0.102,17.921,,0.039,13.167,0,
26-Jul-22,12:24,West,Mesic,2,0,PhIr2022_115B,115,PhIr2022-115,0.005,1.545,0,0,0.285,0,
26-Jul-22,12:46,West,Mesic,2,10,PhIr2022_116B,116,PhIr2022-116,0.044,6.027,,0,4.109,0,
26-Jul-22,12:40,West,Mesic,2,20,PhIr2022_117B,117,PhIr2022-117,0.116,18.936,,0.049,11.34,,
26-Jul-22,12:31,West,Mesic,3,0,PhIr2022_118B,118,PhIr2022-118,0.028,5.007,,,2.894,,
26-Jul-22,12:54,West,Mesic,3,10,PhIr2022_119B,119,PhIr2022-119,0.18,19.298,,,11.378,,
26-Jul-22,13:02,West,Mesic,3,20,PhIr2022_120B,120,PhIr2022-120,0.092,14.95,0,0.02,9.008,,
26-Jul-22,13:58,West,Hydric,1,0,PhIr2022_121B,121,PhIr2022-121,0.017,0.129,1.008,,8.372,,
26-Jul-22,14:28,West,Hydric,1,10,PhIr2022_122B,122,PhIr2022-122,0.125,15.99,,0.02,13.394,,
26-Jul-22,14:36,West,Hydric,1,20,PhIr2022_123B,123,PhIr2022-123,0.173,27.185,0.004,0.034,19.318,0,
26-Jul-22,14:55,West,Hydric,1,40,PhIr2022_124B,124,PhIr2022-124,0.126,24.998,,0.011,13.366,0,
26-Jul-22,14:06,West,Hydric,2,0,PhIr2022_125B,125,PhIr2022-125,0.009,0.075,,,4.482,,
26-Jul-22,14:45,West,Hydric,2,10,PhIr2022_126B,126,PhIr2022-126,0.085,8.611,0.439,,18.333,,
26-Jul-22,14:59,West,Hydric,2,20,PhIr2022_127B,127,PhIr2022-127,0.015,0.064,,0.044,9.923,,
26-Jul-22,15:14,West,Hydric,2,40,PhIr2022_128B,128,PhIr2022-128,0.033,2.43,0.789,,1.255,,
26-Jul-22,14:15,West,Hydric,3,0,PhIr2022_129B,129,PhIr2022-129,0.102,12.258,,,13.171,,
26-Jul-22,15:20,West,Hydric,3,10,PhIr2022_130B,130,PhIr2022-130,0.04,1.049,1.033,,3.906,,
26-Jul-22,15:28,West,Hydric,3,20,PhIr2022_131B,131,PhIr2022-131,0.054,1.075,1.225,,3.435,,
26-Jul-22,15:35,West,Hydric,3,40,PhIr2022_132B,132,PhIr2022-132,0.173,15.847,0.917,,10.344,,
7-Aug-22,12:29,West,Dry,1,0,PhIr2022_133B,133,PhIr2022-133,0.015,0.282,,,6.188,0,
7-Aug-22,12:01,West,Dry,1,10,PhIr2022_134B,134,PhIr2022-134,0.073,5.629,0.388,,9.538,,
7-Aug-22,12:19,West,Dry,1,20,PhIr2022_135B,135,PhIr2022-135,0.099,9.824,0.353,,13.769,,
7-Aug-22,12:40,West,Dry,2,10,PhIr2022_136B,136,PhIr2022-136,0.053,6.9,,,5.449,,
7-Aug-22,12:51,West,Dry,2,20,PhIr2022_137B,137,PhIr2022-137,0.024,3.598,0.002,0.35,2.388,,
7-Aug-22,13:25,West,Mesic,1,20,PhIr2022_138B,138,PhIr2022-138,0.065,8.013,,,8.481,,
7-Aug-22,13:13,West,Mesic,2,0,PhIr2022_139B,139,PhIr2022-139,0.01,0.433,0.002,,0.256,,
7-Aug-22,13:47,West,Mesic,2,10,PhIr2022_140B,140,PhIr2022-140,0.057,8.668,0.024,,6.12,,
7-Aug-22,13:37,West,Mesic,2,20,PhIr2022_141B,141,PhIr2022-141,0.019,1.717,0,0.088,0.926,,
7-Aug-22,13:52,West,Mesic,3,0,PhIr2022_142B,142,PhIr2022-142,0.07,11.618,0,0,6.458,0,
7-Aug-22,13:57,West,Mesic,3,10,PhIr2022_143B,143,PhIr2022-143,0.08,13.039,0,0.011,7.524,0,
7-Aug-22,14:05,West,Mesic,3,20,PhIr2022_144B,144,PhIr2022-144,0.103,14.191,0,0,8.017,0,
7-Aug-22,14:21,West,Hydric,1,0,PhIr2022_145B,145,PhIr2022-145,0.075,11.755,0,0,16.073,0,
7-Aug-22,14:23,West,Hydric,1,10,PhIr2022_146B,146,PhIr2022-146,0.094,14.503,,0,13.464,0,
7-Aug-22,14:34,West,Hydric,1,20,PhIr2022_147B,147,PhIr2022-147,0.016,0.193,,0,5.39,0,
7-Aug-22,15:03,West,Hydric,1,40,PhIr2022_148B,148,PhIr2022-148,0.101,13.946,,0.202,7.194,0,
7-Aug-22,14:44,West,Hydric,2,0,PhIr2022_149B,149,PhIr2022-149,0.094,14.95,0.21,0,14.069,0,
7-Aug-22,14:44,West,Hydric,2,10,PhIr2022_150B,150,PhIr2022-150,0.061,9.28,0,0,18.357,0,
7-Aug-22,14:51,West,Hydric,2,20,PhIr2022_151B,151,PhIr2022-151,0.073,11.047,,0.045,17.741,0,
7-Aug-22,14:53,West,Hydric,2,40,PhIr2022_152B,152,PhIr2022-152,0.058,7.671,,0,5.609,0,
7-Aug-22,15:00,West,Hydric,3,0,PhIr2022_153B,153,PhIr2022-153,0.084,13.102,0.06,0,11.039,0,
7-Aug-22,15:03,West,Hydric,3,10,PhIr2022_154B,154,PhIr2022-154,0.111,12.747,0.799,,9.211,,
7-Aug-22,15:11,West,Hydric,3,20,PhIr2022_155B,155,PhIr2022-155,0.13,10.014,0.861,,6.853,,
7-Aug-22,15:18,West,Hydric,3,40,PhIr2022_156B,156,PhIr2022-156,0.076,4.459,1.146,,2.385,,
8-Aug-22,11:21,East,Dry,2,10,PhIr2022_157B,157,PhIr2022-157,0.088,5.554,0.002,,4.362,,
8-Aug-22,11:32,East,Dry,3,10,PhIr2022_158B,158,PhIr2022-158,0.128,10.849,,,8.488,,
8-Aug-22,11:38,East,Dry,3,20,PhIr2022_159B,159,PhIr2022-159,0.088,8.391,,0.245,5.992,,
8-Aug-22,12:01,East,Mesic,1,0,PhIr2022_160B,160,PhIr2022-160,0.161,13.885,0.007,,9.661,,
8-Aug-22,12:26,East,Mesic,1,10,PhIr2022_161B,161,PhIr2022-161,0.021,0.142,0.002,0.012,0.054,0,
8-Aug-22,12:50,East,Mesic,1,20,PhIr2022_162B,162,PhIr2022-162,0.021,0.268,0,,0.103,0,
8-Aug-22,13:00,East,Mesic,1,40,PhIr2022_163B,163,PhIr2022-163,0.224,20.514,,,15.219,,
8-Aug-22,13:05,East,Mesic,2,10,PhIr2022_164B,164,PhIr2022-164,0.173,17.77,,,12.289,,
8-Aug-22,13:42,East,Hydric,1,0,PhIr2022_165B,165,PhIr2022-165,0.118,10.834,,,8.027,,
8-Aug-22,13:41,East,Hydric,1,10,PhIr2022_166B,166,PhIr2022-166,0.026,0.375,0.002,,0.223,0,
8-Aug-22,13:49,East,Hydric,1,20,PhIr2022_167B,167,PhIr2022-167,0.064,4.553,0,,3.328,,
8-Aug-22,13:32,East,Hydric,2,0,PhIr2022_168B,168,PhIr2022-168,0.083,7.526,0.009,,5.113,,
8-Aug-22,13:53,East,Hydric,2,10,PhIr2022_169B,169,PhIr2022-169,0.019,0.419,,0.012,0.163,0,
8-Aug-22,13:27,East,Hydric,2,20,PhIr2022_170B,170,PhIr2022-170,0.014,1.323,,0.403,1.02,,
8-Aug-22,14:05,East,Hydric,3,0,PhIr2022_171B,171,PhIr2022-171,0.021,0.312,0.013,0,0.073,0,
8-Aug-22,14:02,East,Hydric,3,10,PhIr2022_172B,172,PhIr2022-172,0.083,9.645,0.787,,5.709,,
8-Aug-22,13:33,East,Hydric,3,20,PhIr2022_173B,173,PhIr2022-173,0.106,10.716,,,7.373,,
8-Aug-22,14:55,East,Blank,,,PhIr2022_174B,174,PhIr2022-174,0.005,0.928,0,,0.392,0,
15-Sep-22,16:20,East,Dry,3,20,PhIr2022_175B,175,PhIr2022-175,0.014,0.959,0,0.323,0.626,0,
15-Sep-22,17:10,East,Mesic,1,10,PhIr2022_176B,176,PhIr2022-176,0.163,19.708,,,16.046,,
15-Sep-22,17:20,East,Mesic,1,20,PhIr2022_177B,177,PhIr2022-177,0.123,12.969,,,9.912,,
15-Sep-22,17:00,East,Mesic,1,40,PhIr2022_178B,178,PhIr2022-178,0.043,1.533,,,0.848,,
15-Sep-22,17:30,East,Mesic,3,10,PhIr2022_179B,179,PhIr2022-179,0.135,13.077,,,9.667,,
17-Sep-22,10:20,East,Mesic,2,10,PhIr2022_180B,180,PhIr2022-180,0.08,5.663,,,3.498,,
17-Sep-22,10:50,East,Hydric,1,10,PhIr2022_181B,181,PhIr2022-181,0.052,2.964,,,2.311,,
17-Sep-22,10:55,East,Hydric,1,20,PhIr2022_182B,182,PhIr2022-182,0.054,3.246,,,2.322,,
17-Sep-22,11:10,East,Hydric,2,0,PhIr2022_183B,183,PhIr2022-183,0.109,9.444,0.003,,6.682,,
17-Sep-22,11:05,East,Hydric,2,10,PhIr2022_184B,184,PhIr2022-184,0.052,5.749,,0.035,3.407,0,
17-Sep-22,10:30,East,Hydric,3,0,PhIr2022_185B,185,PhIr2022-185,0.04,4.333,0.002,,2.472,,
17-Sep-22,10:30,East,Hydric,3,10,PhIr2022_186B,186,PhIr2022-186,0.033,0.371,,0.035,0.018,0,
23-Sep-22,11:50,West,Mesic,3,10,PhIr2022-187,187,PhIr2022-187,0.012,0.541,,,0.284,,
23-Sep-22,13:05,West,Hydric,3,40,PhIr2022-192,188,PhIr2022-188,0.068,9.643,,0.023,9.845,0,
23-Sep-22,12:40,West,Hydric,2,0,PhIr2022-189,189,PhIr2022-189,0.068,10.376,,,10.533,0,
23-Sep-22,12:30,West,Hydric,2,10,PhIr2022-188,190,PhIr2022-190,0.056,6.526,,0.105,4.978,0,
23-Sep-22,12:40,West,Hydric,2,20,PhIr2022-191,191,PhIr2022-191,0.035,4.96,,0.082,3.73,,
23-Sep-22,12:50,West,Hydric,2,40,PhIr2022-190,192,PhIr2022-192,0.075,9.501,,0.346,6.556,,
