ORNL_id,sample_time,area,site,plot,depth_cm,sample_date,Al,Ca,Fe,FeII,K,Mg,Mn,Na,P
PhIr2022-107,13:35,acidic tundra,Hydric,3,0,7/25/22,0.36,7.45,0.53,,0.56,1.71,2,0.25,0.01
PhIr2022-108,14:08,acidic tundra,Hydric,3,10,7/25/22,0.7,12.7,24.5,18.63,0.36,2.69,21.3,0.3,0.005
PhIr2022-109,15:37,acidic tundra,Hydric,3,20,7/25/22,0.32,5.39,21.2,9.5,0.84,1.44,2.62,0.62,0.02
PhIr2022-110,11:04,non-acidic tundra,Dry,1,0,7/26/22,0.02,13.3,0.02,,0.03,1.86,0.003,0.32,0.005
PhIr2022-111,10:53,non-acidic tundra,Dry,1,10,7/26/22,0.03,13.2,0.02,,0.03,1.83,0.003,0.28,0.01
PhIr2022-112,11:21,non-acidic tundra,Dry,1,20,7/26/22,0.24,14.5,0.12,,0.27,2.1,0.23,0.51,0.005
PhIr2022-113,11:27,non-acidic tundra,Dry,2,20,7/26/22,0.07,8.85,0.05,,0.02,1.07,0.003,0.14,0.01
PhIr2022-114,12:16,non-acidic tundra,Mesic,1,20,7/26/22,0.05,12.9,0.08,,0.03,1.71,0.17,0.23,0.005
PhIr2022-115,12:24,non-acidic tundra,Mesic,2,0,7/26/22,0.05,6.7,0.05,,0.09,0.91,0.003,0.15,0.01
PhIr2022-116,12:46,non-acidic tundra,Mesic,2,10,7/26/22,0.14,6.76,0.06,,0.13,0.83,0.003,0.19,0.005
PhIr2022-117,12:40,non-acidic tundra,Mesic,2,20,7/26/22,0.08,7.29,0.37,,0.04,0.99,0.41,0.16,0.01
PhIr2022-118,12:31,non-acidic tundra,Mesic,3,0,7/26/22,0.06,8.3,0.03,,0.06,1.03,0.003,0.18,0.005
PhIr2022-119,12:54,non-acidic tundra,Mesic,3,10,7/26/22,0.04,7.67,0.04,,0.03,0.98,0.003,0.15,0.005
PhIr2022-120,13:02,non-acidic tundra,Mesic,3,20,7/26/22,0.11,7.05,1.01,,0.04,0.85,0.89,0.15,0.005
PhIr2022-121,13:58,non-acidic tundra,Hydric,1,0,7/26/22,0.38,35,0.04,,0.32,4.58,0.02,0.59,0.005
PhIr2022-122,14:28,non-acidic tundra,Hydric,1,10,7/26/22,0.01,31.3,0.37,,0.11,3.92,0.03,0.38,0.005
PhIr2022-123,14:36,non-acidic tundra,Hydric,1,20,7/26/22,0.01,29.2,0.88,,0.06,3.69,0.08,0.34,0.005
PhIr2022-124,14:55,non-acidic tundra,Hydric,1,40,7/26/22,0.01,49.5,3.09,2.5,0.48,5.94,0.85,0.83,0.01
PhIr2022-125,14:06,non-acidic tundra,Hydric,2,0,7/26/22,0.03,14.8,0.17,,0.05,2.02,0.06,0.27,0.005
PhIr2022-126,14:45,non-acidic tundra,Hydric,2,10,7/26/22,0.12,20.6,0.01,,0.08,2.29,0.003,0.38,0.005
PhIr2022-127,14:59,non-acidic tundra,Hydric,2,20,7/26/22,0.02,19.3,0.54,,0.04,2.14,0.04,0.29,0.005
PhIr2022-128,15:14,non-acidic tundra,Hydric,2,40,7/26/22,0.04,18.9,2.51,1.75,0.13,2.01,0.43,0.42,0.005
PhIr2022-129,14:15,non-acidic tundra,Hydric,3,0,7/26/22,0.005,32.8,0.1,,0.14,4.35,0.06,0.41,0.005
PhIr2022-130,15:20,non-acidic tundra,Hydric,3,10,7/26/22,0.01,34,1.54,,0.21,4.18,0.14,0.38,0.005
PhIr2022-131,15:28,non-acidic tundra,Hydric,3,20,7/26/22,0.01,37.2,1.41,,0.09,4.9,0.1,0.56,0.005
PhIr2022-132,15:35,non-acidic tundra,Hydric,3,40,7/26/22,0.01,43.9,5.19,4.75,0.05,3.91,1.7,0.55,0.005
PhIr2022-133,12:29,non-acidic tundra,Dry,1,0,8/7/22,0.02,14.4,0.02,,0.03,1.9,0.003,0.28,0.005
PhIr2022-134,12:01,non-acidic tundra,Dry,1,10,8/7/22,0.03,13.8,0.02,,0.05,1.82,0.003,0.29,0.005
PhIr2022-135,12:19,non-acidic tundra,Dry,1,20,8/7/22,0.06,13.4,0.06,,0.08,1.89,0.09,0.38,0.005
PhIr2022-136,12:40,non-acidic tundra,Dry,2,10,8/7/22,0.03,10.2,0.02,,0.04,1.27,0.003,0.16,0.005
PhIr2022-137,12:51,non-acidic tundra,Dry,2,20,8/7/22,0.06,9.65,0.04,,0.14,1.1,0.01,0.16,0.01
PhIr2022-138,13:25,non-acidic tundra,Mesic,1,20,8/7/22,0.06,8.93,0.07,,0.08,1.11,0.08,0.2,0.005
PhIr2022-139,13:13,non-acidic tundra,Mesic,2,0,8/7/22,0.06,6.71,0.12,,0.13,0.88,0.05,0.15,0.01
PhIr2022-140,13:47,non-acidic tundra,Mesic,2,10,8/7/22,0.05,6.32,0.05,,0.08,0.78,0.003,0.14,0.005
