"","SampleID","day","month","year","Time","Area","Site","Plot","Depth_cm","date","ICP","concentration"
"161","PhIr2022-22","6","07","2022","11:55","acidic tundra","Hydric",1,20,2022-07-06,"Al_ug_mL",0.22
"162","PhIr2022-22","6","07","2022","11:55","acidic tundra","Hydric",1,20,2022-07-06,"Ca_ug_mL",1.65
"163","PhIr2022-22","6","07","2022","11:55","acidic tundra","Hydric",1,20,2022-07-06,"Fe_ug_mL",0.76
"164","PhIr2022-22","6","07","2022","11:55","acidic tundra","Hydric",1,20,2022-07-06,"K_ug_mL",0.42
"165","PhIr2022-22","6","07","2022","11:55","acidic tundra","Hydric",1,20,2022-07-06,"Mg_ug_mL",0.45
"166","PhIr2022-22","6","07","2022","11:55","acidic tundra","Hydric",1,20,2022-07-06,"Mn_ug_mL",0.1
"167","PhIr2022-22","6","07","2022","11:55","acidic tundra","Hydric",1,20,2022-07-06,"Na_ug_mL",0.4
"168","PhIr2022-22","6","07","2022","11:55","acidic tundra","Hydric",1,20,2022-07-06,"P_ug_mL",0.03
"169","PhIr2022-23","6","07","2022","11:15","acidic tundra","Hydric",2,10,2022-07-06,"Al_ug_mL",0.49
"170","PhIr2022-23","6","07","2022","11:15","acidic tundra","Hydric",2,10,2022-07-06,"Ca_ug_mL",3.58
"171","PhIr2022-23","6","07","2022","11:15","acidic tundra","Hydric",2,10,2022-07-06,"Fe_ug_mL",0.85
"172","PhIr2022-23","6","07","2022","11:15","acidic tundra","Hydric",2,10,2022-07-06,"K_ug_mL",0.44
"173","PhIr2022-23","6","07","2022","11:15","acidic tundra","Hydric",2,10,2022-07-06,"Mg_ug_mL",0.62
"174","PhIr2022-23","6","07","2022","11:15","acidic tundra","Hydric",2,10,2022-07-06,"Mn_ug_mL",0.23
"175","PhIr2022-23","6","07","2022","11:15","acidic tundra","Hydric",2,10,2022-07-06,"Na_ug_mL",0.41
"176","PhIr2022-23","6","07","2022","11:15","acidic tundra","Hydric",2,10,2022-07-06,"P_ug_mL",0.01
"177","PhIr2022-24","6","07","2022","11:40","acidic tundra","Hydric",3,10,2022-07-06,"Al_ug_mL",0.54
"178","PhIr2022-24","6","07","2022","11:40","acidic tundra","Hydric",3,10,2022-07-06,"Ca_ug_mL",8.04
"179","PhIr2022-24","6","07","2022","11:40","acidic tundra","Hydric",3,10,2022-07-06,"Fe_ug_mL",6.99
"180","PhIr2022-24","6","07","2022","11:40","acidic tundra","Hydric",3,10,2022-07-06,"K_ug_mL",0.44
"181","PhIr2022-24","6","07","2022","11:40","acidic tundra","Hydric",3,10,2022-07-06,"Mg_ug_mL",1.84
"182","PhIr2022-24","6","07","2022","11:40","acidic tundra","Hydric",3,10,2022-07-06,"Mn_ug_mL",9.04
"183","PhIr2022-24","6","07","2022","11:40","acidic tundra","Hydric",3,10,2022-07-06,"Na_ug_mL",0.48
"184","PhIr2022-24","6","07","2022","11:40","acidic tundra","Hydric",3,10,2022-07-06,"P_ug_mL",0.005
"185","PhIr2022-26","7","07","2022","11:49","non-acidic tundra","Mesic",1,20,2022-07-07,"Al_ug_mL",0.04
"186","PhIr2022-26","7","07","2022","11:49","non-acidic tundra","Mesic",1,20,2022-07-07,"Ca_ug_mL",12.6
"187","PhIr2022-26","7","07","2022","11:49","non-acidic tundra","Mesic",1,20,2022-07-07,"Fe_ug_mL",0.18
"188","PhIr2022-26","7","07","2022","11:49","non-acidic tundra","Mesic",1,20,2022-07-07,"K_ug_mL",0.45
"189","PhIr2022-26","7","07","2022","11:49","non-acidic tundra","Mesic",1,20,2022-07-07,"Mg_ug_mL",1.62
"190","PhIr2022-26","7","07","2022","11:49","non-acidic tundra","Mesic",1,20,2022-07-07,"Mn_ug_mL",0.06
"191","PhIr2022-26","7","07","2022","11:49","non-acidic tundra","Mesic",1,20,2022-07-07,"Na_ug_mL",0.36
"192","PhIr2022-26","7","07","2022","11:49","non-acidic tundra","Mesic",1,20,2022-07-07,"P_ug_mL",0.06
"193","PhIr2022-27","7","07","2022","11:03","non-acidic tundra","Mesic",2,0,2022-07-07,"Al_ug_mL",0.03
"194","PhIr2022-27","7","07","2022","11:03","non-acidic tundra","Mesic",2,0,2022-07-07,"Ca_ug_mL",6.16
"195","PhIr2022-27","7","07","2022","11:03","non-acidic tundra","Mesic",2,0,2022-07-07,"Fe_ug_mL",0.03
"196","PhIr2022-27","7","07","2022","11:03","non-acidic tundra","Mesic",2,0,2022-07-07,"K_ug_mL",0.05
"197","PhIr2022-27","7","07","2022","11:03","non-acidic tundra","Mesic",2,0,2022-07-07,"Mg_ug_mL",0.76
"198","PhIr2022-27","7","07","2022","11:03","non-acidic tundra","Mesic",2,0,2022-07-07,"Mn_ug_mL",0.003
"199","PhIr2022-27","7","07","2022","11:03","non-acidic tundra","Mesic",2,0,2022-07-07,"Na_ug_mL",0.13
"200","PhIr2022-27","7","07","2022","11:03","non-acidic tundra","Mesic",2,0,2022-07-07,"P_ug_mL",0.005
"201","PhIr2022-28","7","07","2022","12:05","non-acidic tundra","Mesic",2,20,2022-07-07,"Al_ug_mL",0.08
"202","PhIr2022-28","7","07","2022","12:05","non-acidic tundra","Mesic",2,20,2022-07-07,"Ca_ug_mL",6.38
"203","PhIr2022-28","7","07","2022","12:05","non-acidic tundra","Mesic",2,20,2022-07-07,"Fe_ug_mL",0.49
"204","PhIr2022-28","7","07","2022","12:05","non-acidic tundra","Mesic",2,20,2022-07-07,"K_ug_mL",0.45
"205","PhIr2022-28","7","07","2022","12:05","non-acidic tundra","Mesic",2,20,2022-07-07,"Mg_ug_mL",0.84
"206","PhIr2022-28","7","07","2022","12:05","non-acidic tundra","Mesic",2,20,2022-07-07,"Mn_ug_mL",0.1
"207","PhIr2022-28","7","07","2022","12:05","non-acidic tundra","Mesic",2,20,2022-07-07,"Na_ug_mL",0.25
"208","PhIr2022-28","7","07","2022","12:05","non-acidic tundra","Mesic",2,20,2022-07-07,"P_ug_mL",0.08
"209","PhIr2022-29","7","07","2022","11:29","non-acidic tundra","Mesic",3,0,2022-07-07,"Al_ug_mL",0.03
"210","PhIr2022-29","7","07","2022","11:29","non-acidic tundra","Mesic",3,0,2022-07-07,"Ca_ug_mL",6.7
"211","PhIr2022-29","7","07","2022","11:29","non-acidic tundra","Mesic",3,0,2022-07-07,"Fe_ug_mL",0.02
"212","PhIr2022-29","7","07","2022","11:29","non-acidic tundra","Mesic",3,0,2022-07-07,"K_ug_mL",0.1
"213","PhIr2022-29","7","07","2022","11:29","non-acidic tundra","Mesic",3,0,2022-07-07,"Mg_ug_mL",0.87
"214","PhIr2022-29","7","07","2022","11:29","non-acidic tundra","Mesic",3,0,2022-07-07,"Mn_ug_mL",0.003
"215","PhIr2022-29","7","07","2022","11:29","non-acidic tundra","Mesic",3,0,2022-07-07,"Na_ug_mL",0.16
"216","PhIr2022-29","7","07","2022","11:29","non-acidic tundra","Mesic",3,0,2022-07-07,"P_ug_mL",0.005
"217","PhIr2022-30","7","07","2022","12:20","non-acidic tundra","Mesic",3,10,2022-07-07,"Al_ug_mL",0.03
"218","PhIr2022-30","7","07","2022","12:20","non-acidic tundra","Mesic",3,10,2022-07-07,"Ca_ug_mL",6.15
"219","PhIr2022-30","7","07","2022","12:20","non-acidic tundra","Mesic",3,10,2022-07-07,"Fe_ug_mL",0.02
"220","PhIr2022-30","7","07","2022","12:20","non-acidic tundra","Mesic",3,10,2022-07-07,"K_ug_mL",0.01
"221","PhIr2022-30","7","07","2022","12:20","non-acidic tundra","Mesic",3,10,2022-07-07,"Mg_ug_mL",0.77
"222","PhIr2022-30","7","07","2022","12:20","non-acidic tundra","Mesic",3,10,2022-07-07,"Mn_ug_mL",0.01
"223","PhIr2022-30","7","07","2022","12:20","non-acidic tundra","Mesic",3,10,2022-07-07,"Na_ug_mL",0.11
"224","PhIr2022-30","7","07","2022","12:20","non-acidic tundra","Mesic",3,10,2022-07-07,"P_ug_mL",0.005
