"","Sample_ID","Core_ID","Date_collected","Area","Site","Plot_num","Plot_ID","Horizon","Depth_1_cm","Depth_2_cm","Depth_3_cm","Depth_4_cm","Average_Depth_cm","real_depth_cm","soil_bulk_density_g_cm3","volumetric_water_content_cm3_cm3","soil_material","label","date_simple","data"
"46","20210713-W-H1_O2","20210713-W-H1","13-Jul-21","non-acidic tundra","Hydric","1","W-H1","O2","10","9","7","10","9","17.5","0.09","0.549","organic","Plot-2-1","Plot-2","analyzed"
"47","20210713-W-H2_O1","20210713-W-H2","13-Jul-21","non-acidic tundra","Hydric","2","W-H2","O1","10","9.5","8.5","9.5","9.4","9.4","0.15","0.645","organic","Plot-2-2","Plot-2","analyzed"
"48","20210713-W-H2_O2","20210713-W-H2","13-Jul-21","non-acidic tundra","Hydric","2","W-H2","O2","12","11","11.5","11.5","11.5","20.9","0.13","not analyzed","organic","Plot-2-2","Plot-2","analyzed"
"49","20210713-W-H3_O1","20210713-W-H3","13-Jul-21","non-acidic tundra","Hydric","3","W-H3","O1","10.5","10","10","10","10.1","10.1","0.09","0.3834","organic","Plot-2-3","Plot-2","analyzed"
"50","20210713-W-H3_O2","20210713-W-H3","13-Jul-21","non-acidic tundra","Hydric","3","W-H3","O2","8.5","8.5","9.5","9.5","9","19.1","0.11","0.4961","organic","Plot-2-3","Plot-2","analyzed"
"51","20210714-E-D1_O1","20210714-E-D1","14-Jul-21","acidic tundra","Dry","1","E-D1","O1","6","4.5","7.5","7","6.3","6.3","0.04","0.1604","organic","Plot-2-1","Plot-2","analyzed"
"52","20210714-E-D1_O2","20210714-E-D1","14-Jul-21","acidic tundra","Dry","1","E-D1","O2","7.5","7","6.5","6","6.8","13.1","0.27","0.4563","organic","Plot-2-1","Plot-2","analyzed"
"53","20210714-E-D2_O1","20210714-E-D2","14-Jul-21","acidic tundra","Dry","2","E-D2","O1","10","9.5","9","9","9.4","9.4","0.09","0.2106","organic","Plot-2-2","Plot-2","analyzed"
"54","20210714-E-D2_O2","20210714-E-D2","14-Jul-21","acidic tundra","Dry","2","E-D2","O2","4.5","4.5","4.5","5","4.6","14","0.4","0.552","organic","Plot-2-2","Plot-2","analyzed"
"55","20210714-E-D3_O1","20210714-E-D3","14-Jul-21","acidic tundra","Dry","3","E-D3","O1","5.5","7","7.5","6.5","6.6","6.6","0.08","0.2728","organic","Plot-2-3","Plot-2","analyzed"
