"","Sample_ID","Core_ID","Date_collected","Area","Site","Plot_num","Plot_ID","Horizon","soil_material","Average_thickness_cm","real_depth_cm","soil_bulk_density_g_cm3","grav_moist_perc","grav_water_gh20_per_gdrysoil","volumetric_water_content_cm3_cm3"
"91","20210724-W-T10_O2","20210724-W-T10","24-Jul-21","non-acidic tundra","Transect","T10","W-T10","O2","organic",6.5,21.1,NA,NA,NA,NA
"92","20210724-W-T11_O1","20210724-W-T11","24-Jul-21","non-acidic tundra","Transect","T11","W-T11","O1","organic",9,9,NA,NA,NA,NA
"93","20210724-W-T11_O2","20210724-W-T11","24-Jul-21","non-acidic tundra","Transect","T11","W-T11","O2","organic",9.6,18.6,NA,NA,NA,NA
"94","20210724-W-T12_O1","20210724-W-T12","24-Jul-21","non-acidic tundra","Transect","T12","W-T12","O1","organic",10.1,10.1,NA,NA,NA,NA
"95","20210724-W-T12_O2","20210724-W-T12","24-Jul-21","non-acidic tundra","Transect","T12","W-T12","O2","organic",10.1,20.2,NA,NA,NA,NA
"96","20210724-W-T13_O","20210724-W-T13","24-Jul-21","non-acidic tundra","Transect","T13","W-T13","O","organic",13.6,13.6,NA,NA,NA,NA
"97","20210724-E-T1_O1","20210724-E-T1","24-Jul-21","acidic tundra","Transect","T1","E-T1","O1","organic",9.5,9.5,NA,NA,NA,NA
"98","20210724-E-T1_O2","20210724-E-T1","24-Jul-21","acidic tundra","Transect","T1","E-T1","O2","organic",12.9,22.4,NA,NA,NA,NA
"99","20210724-E-T2_O1","20210724-E-T2","24-Jul-21","acidic tundra","Transect","T2","E-T2","O1","organic",8.4,8.4,NA,NA,NA,NA
"100","20210724-E-T2_O2","20210724-E-T2","24-Jul-21","acidic tundra","Transect","T2","E-T2","O2","organic",13.1,21.5,NA,NA,NA,NA
"101","20210724-E-T3_O1","20210724-E-T3","24-Jul-21","acidic tundra","Transect","T3","E-T3","O1","organic",7,7,NA,NA,NA,NA
"102","20210724-E-T3_O2","20210724-E-T3","24-Jul-21","acidic tundra","Transect","T3","E-T3","O2","organic",9.9,16.9,NA,NA,NA,NA
"103","20210724-E-T4_O1","20210724-E-T4","24-Jul-21","acidic tundra","Transect","T4","E-T4","O1","organic",9.3,9.3,NA,NA,NA,NA
"104","20210724-E-T4_O2","20210724-E-T4","24-Jul-21","acidic tundra","Transect","T4","E-T4","O2","organic",3.8,13.1,NA,NA,NA,NA
"105","20210724-E-T5_O1","20210724-E-T5","24-Jul-21","acidic tundra","Transect","T5","E-T5","O1","organic",9.1,9.1,NA,NA,NA,NA
"106","20210724-E-T5_O2","20210724-E-T5","24-Jul-21","acidic tundra","Transect","T5","E-T5","O2","organic",7,16.1,NA,NA,NA,NA
"107","20210724-E-T5_M","20210724-E-T5","24-Jul-21","acidic tundra","Transect","T5","E-T5","M","mineral",5.6,21.7,NA,NA,NA,NA
"108","20210724-E-T6_O","20210724-E-T6","24-Jul-21","acidic tundra","Transect","T6","E-T6","O","organic",8.4,8.4,NA,NA,NA,NA
"109","20210724-E-T6_M","20210724-E-T6","24-Jul-21","acidic tundra","Transect","T6","E-T6","M","mineral",9.3,17.7,NA,NA,NA,NA
"110","20210724-E-T7_O","20210724-E-T7","24-Jul-21","acidic tundra","Transect","T7","E-T7","O","organic",2.3,2.3,NA,NA,NA,NA
"111","20210724-E-T7_M","20210724-E-T7","24-Jul-21","acidic tundra","Transect","T7","E-T7","M","mineral",11,13.3,NA,NA,NA,NA
"112","20210724-E-T8_O1","20210724-E-T8","24-Jul-21","acidic tundra","Transect","T8","E-T8","O1","organic",10.6,10.6,NA,NA,NA,NA
"113","20210724-E-T8_O2","20210724-E-T8","24-Jul-21","acidic tundra","Transect","T8","E-T8","O2","organic",5.3,15.9,NA,NA,NA,NA
"114","20210724-E-T9_O","20210724-E-T9","24-Jul-21","acidic tundra","Transect","T9","E-T9","O","organic",8.1,8.1,NA,NA,NA,NA
"115","20210724-E-T9_M","20210724-E-T9","24-Jul-21","acidic tundra","Transect","T9","E-T9","M","mineral",11.3,19.4,NA,NA,NA,NA
"116","20210724-E-T10_O1","20210724-E-T10","24-Jul-21","acidic tundra","Transect","T10","E-T10","O1","organic",7.3,7.3,NA,NA,NA,NA
"117","20210724-E-T10_O2","20210724-E-T10","24-Jul-21","acidic tundra","Transect","T10","E-T10","O2","organic",9.4,16.7,NA,NA,NA,NA
"118","20210724-E-T11_O1","20210724-E-T11","24-Jul-21","acidic tundra","Transect","T11","E-T11","O1","organic",6.9,6.9,NA,NA,NA,NA
"119","20210724-E-T11_O2","20210724-E-T11","24-Jul-21","acidic tundra","Transect","T11","E-T11","O2","organic",6.4,13.3,NA,NA,NA,NA
"120","20210724-E-T12_O1","20210724-E-T12","24-Jul-21","acidic tundra","Transect","T12","E-T12","O1","organic",13.4,13.4,NA,NA,NA,NA
"121","20210724-E-T12_O2","20210724-E-T12","24-Jul-21","acidic tundra","Transect","T12","E-T12","O2","organic",5.1,18.5,NA,NA,NA,NA
"122","20210724-E-T13_O1","20210724-E-T13","24-Jul-21","acidic tundra","Transect","T13","E-T13","O1","organic",8,8,NA,NA,NA,NA
"123","20210724-E-T13_O2","20210724-E-T13","24-Jul-21","acidic tundra","Transect","T13","E-T13","O2","organic",9,17,NA,NA,NA,NA
"124","20210730-E-D1_O1","20210730-E-D1","30-Jul-21","acidic tundra","Dry","1","E-D1","O1","organic",9.4,9.4,NA,NA,NA,NA
"125","20210730-E-D1_O2","20210730-E-D1","30-Jul-21","acidic tundra","Dry","1","E-D1","O2","organic",12,21.4,NA,NA,NA,NA
"126","20210730-E-D2_O1","20210730-E-D2","30-Jul-21","acidic tundra","Dry","2","E-D2","O1","organic",10,10,NA,NA,NA,NA
"127","20210730-E-D2_O2","20210730-E-D2","30-Jul-21","acidic tundra","Dry","2","E-D2","O2","organic",7.1,17.1,NA,NA,NA,NA
"128","20210730-E-D3_O","20210730-E-D3","30-Jul-21","acidic tundra","Dry","3","E-D3","O","organic",7.9,7.9,0.29,52.6,1.11,0.3219
"129","20210730-E-D3_M","20210730-E-D3","30-Jul-21","acidic tundra","Dry","3","E-D3","M","mineral",13.3,21.2,1.4,19,0.24,0.336
"130","20210730-E-M1_O","20210730-E-M1","30-Jul-21","acidic tundra","Mesic","1","E-M1","O","organic",8.4,8.4,NA,NA,NA,NA
"131","20210730-E-M1_M","20210730-E-M1","30-Jul-21","acidic tundra","Mesic","1","E-M1","M","mineral",11.6,20,NA,NA,NA,NA
"132","20210730-E-M2_O1","20210730-E-M2","30-Jul-21","acidic tundra","Mesic","2","E-M2","O1","organic",11.9,11.9,NA,NA,NA,NA
"133","20210730-E-M2_O2","20210730-E-M2","30-Jul-21","acidic tundra","Mesic","2","E-M2","O2","organic",3.8,15.7,NA,NA,NA,NA
"134","20210730-E-M2_M","20210730-E-M2","30-Jul-21","acidic tundra","Mesic","2","E-M2","M","mineral",7.9,23.6,NA,NA,NA,NA
"135","20210730-E-M3_O1","20210730-E-M3","30-Jul-21","acidic tundra","Mesic","3","E-M3","O1","organic",12,12,NA,NA,NA,NA
"136","20210730-E-M3_O2","20210730-E-M3","30-Jul-21","acidic tundra","Mesic","3","E-M3","O2","organic",6.5,18.5,NA,NA,NA,NA
"137","20210730-E-H1_O1","20210730-E-H1","30-Jul-21","acidic tundra","Hydric","1","E-H1","O1","organic",14.3,14.3,NA,NA,NA,NA
"138","20210730-E-H1_O2","20210730-E-H1","30-Jul-21","acidic tundra","Hydric","1","E-H1","O2","organic",4.1,18.4,NA,NA,NA,NA
"139","20210730-E-H2_O1","20210730-E-H2","30-Jul-21","acidic tundra","Hydric","2","E-H2","O1","organic",11,11,NA,NA,NA,NA
"140","20210730-E-H2_O2","20210730-E-H2","30-Jul-21","acidic tundra","Hydric","2","E-H2","O2","organic",10.9,21.9,NA,NA,NA,NA
"141","20210730-E-H3_O1","20210730-E-H3","30-Jul-21","acidic tundra","Hydric","3","E-H3","O1","organic",6,6,NA,NA,NA,NA
"142","20210730-E-H3_O2","20210730-E-H3","30-Jul-21","acidic tundra","Hydric","3","E-H3","O2","organic",5,11,NA,NA,NA,NA
"143","20210730-E-H3_M","20210730-E-H3","30-Jul-21","acidic tundra","Hydric","3","E-H3","M","mineral",5.5,16.5,NA,NA,NA,NA
"144","20210731-W-D1_O1","20210731-W-D1","31-Jul-21","non-acidic tundra","Dry","1","W-D1","O1","organic",8.1,8.1,NA,NA,NA,NA
