SampleID,Date,Time,Area,Site,Plot,Plot_ID,Subsamples_collected,Depth_cm,Solution_pH,Solution_SC,Solution_temp,Filter Type,Comments,
PhIr2022-174,8-Aug-2022,14:55,East,Blank,,,A-D,,5.69,3,18.3,PES,SC and PH recorded in lab,
PhIr2022-175,15-Sept-2022,16:20,East,Dry,3,E-D3,A-C,20,5.76,24,,,,
PhIr2022-176,15-Sep-2022,17:10,East,Mesic,1,E-M1,A-C,10,5.52,11.5,10.1,,,
PhIr2022-177,15-Sep-2022,17:20,East,Mesic,1,E-M1,A-C,20,5.66,19.2,12.9,,Empty,
PhIr2022-178,15-Sep-2022,17:00,East,Mesic,1,E-M1,A-C,40,5.5,39.9,,,,
PhIr2022-179,15-Sep-2022,17:30,East,Mesic,3,E-M3,A-C,10,5.82,11.9,14.2,,,
PhIr2022-180,17-Sep-2022,10:20,East,Mesic,2,E-M2,A-C,10,5.53,57.1,6.7,,,
PhIr2022-181,17-Sep-2022,10:50,East,Hydric,1,E-H1,A-C,10,5.49,30.5,5.5,,,
PhIr2022-182,17-Sep-2022,10:55,East,Hydric,1,E-H1,A-C,20,5.18,20.0,4.9,,,
PhIr2022-183,17-Sep-2022,11:10,East,Hydric,2,E-H2,A-C,0,4.97,12.2,5.7,,,
PhIr2022-184,17-Sep-2022,11:05,East,Hydric,2,E-H2,A-C,10,5.78,104.5,6.2,,,
PhIr2022-185,17-Sep-2022,10:30,East,Hydric,3,E-H3,A-C,0,5.47,25.0,4.7,,,
PhIr2022-186,17-Sep-2022,10:30,East,Hydric,3,E-H3,A-C,10,6.47,328.0,5.7,,,
PhIr2022-187,23-Sep-2022,11:50,West,Mesic,3,W-M3,A-C,10,6.5,76.4,3.2,,,
PhIr2022-188,23-Sep-2022,12:30,West,Hydric,2,W-H2,A-C,10,5.88,66.2,2.2,,Glass bottle,
PhIr2022-189,23-Sep-2022,12:40,West,Hydric,2,W-H2,A-C,0,5.91,52.4,1.3,,,
PhIr2022-190,23-Sep-2022,12:50,West,Hydric,2,W-H2,A-C,40,5.67,57.0,1.6,,Glass Bottle,
PhIr2022-191,23-Sep-2022,12:40,West,Hydric,2,W-H2,A-C,20,5.84,76.0,1.3,,Glass bottle,
PhIr2022-192,23-Sep-2022,13:05,West,Hydric,3,W-H3,A-C,40,6.34,116.9,1.8,,,
