sampleID,Core_ID,Date_collected,Area,Site,Plot_num,Plot_ID,Horizon,Depth_1_cm,Depth_2_cm,Depth_3_cm,Depth_4_cm,Average_Depth_cm,real_depth_cm,soil_bulk_density_g_cm3,volumetric_water_content_cm3_cm3,soil_material,label,driedsample_readyforshipping
20210724-W-T7_O2,20210724-W-T7,24-Jul-21,non-acidic tundra,Transect,T7,W-T7,O2,12.5,13,12.5,14,13,21.4,NA,NA,organic,O2,NA
20210724-W-T8_O1,20210724-W-T8,24-Jul-21,non-acidic tundra,Transect,T8,W-T8,O1,11.5,10.5,11,11,11,11,NA,NA,organic,O1,NA
20210724-W-T8_O2,20210724-W-T8,24-Jul-21,non-acidic tundra,Transect,T8,W-T8,O2,12,11,12,11.5,11.6,22.6,NA,NA,organic,O2,NA
20210724-W-T9_O1,20210724-W-T9,24-Jul-21,non-acidic tundra,Transect,T9,W-T9,O1,9.5,9,9,7.5,8.8,8.8,NA,NA,organic,O1,NA
20210724-W-T9_O2,20210724-W-T9,24-Jul-21,non-acidic tundra,Transect,T9,W-T9,O2,11,12.5,12.5,12.5,12.1,20.9,NA,NA,organic,O2,NA
20210724-W-T10_O1,20210724-W-T10,24-Jul-21,non-acidic tundra,Transect,T10,W-T10,O1,15,14,14,15.5,14.6,14.6,NA,NA,organic,O1,NA
20210724-W-T10_O2,20210724-W-T10,24-Jul-21,non-acidic tundra,Transect,T10,W-T10,O2,7,6.5,7,5.5,6.5,21.1,NA,NA,organic,O2,NA
20210724-W-T11_O1,20210724-W-T11,24-Jul-21,non-acidic tundra,Transect,T11,W-T11,O1,8.5,9.5,9.5,8.5,9,9,NA,NA,organic,O1,NA
20210724-W-T11_O2,20210724-W-T11,24-Jul-21,non-acidic tundra,Transect,T11,W-T11,O2,10,10,9.5,9,9.6,18.6,NA,NA,organic,O2,NA
20210724-W-T12_O1,20210724-W-T12,24-Jul-21,non-acidic tundra,Transect,T12,W-T12,O1,10.5,10,9.5,10.5,10.1,10.1,NA,NA,organic,O1,NA
20210724-W-T12_O2,20210724-W-T12,24-Jul-21,non-acidic tundra,Transect,T12,W-T12,O2,10,10,9.5,11,10.1,20.2,NA,NA,organic,O2,NA
20210724-W-T13_O,20210724-W-T13,24-Jul-21,non-acidic tundra,Transect,T13,W-T13,O,15,12.5,13,14,13.6,13.6,NA,NA,organic,O,NA
20210724-E-T1_O1,20210724-E-T1,24-Jul-21,acidic tundra,Transect,T1,E-T1,O1,8.5,9,9.5,11,9.5,9.5,NA,NA,organic,O1,NA
20210724-E-T1_O2,20210724-E-T1,24-Jul-21,acidic tundra,Transect,T1,E-T1,O2,12,13,12,14.5,12.9,22.4,NA,NA,organic,O2,NA
20210724-E-T2_O1,20210724-E-T2,24-Jul-21,acidic tundra,Transect,T2,E-T2,O1,8,7.5,10,8,8.4,8.4,NA,NA,organic,O1,NA
20210724-E-T2_O2,20210724-E-T2,24-Jul-21,acidic tundra,Transect,T2,E-T2,O2,13,13.5,13,13,13.1,21.5,NA,NA,organic,O2,NA
20210724-E-T3_O1,20210724-E-T3,24-Jul-21,acidic tundra,Transect,T3,E-T3,O1,7.5,6.5,8.5,5.5,7,7,NA,NA,organic,O1,NA
20210724-E-T3_O2,20210724-E-T3,24-Jul-21,acidic tundra,Transect,T3,E-T3,O2,12,9,9,9.5,9.9,16.9,NA,NA,organic,O2,NA
20210724-E-T4_O1,20210724-E-T4,24-Jul-21,acidic tundra,Transect,T4,E-T4,O1,10,9,9,9,9.3,9.3,NA,NA,organic,O1,NA
20210724-E-T4_O2,20210724-E-T4,24-Jul-21,acidic tundra,Transect,T4,E-T4,O2,2.5,4.5,4.5,3.5,3.8,13.1,NA,NA,organic,O2,NA
20210724-E-T5_O1,20210724-E-T5,24-Jul-21,acidic tundra,Transect,T5,E-T5,O1,7.5,10,9.5,9.5,9.1,9.1,NA,NA,organic,O1,NA
20210724-E-T5_O2,20210724-E-T5,24-Jul-21,acidic tundra,Transect,T5,E-T5,O2,6,7,7.5,7.5,7,16.1,NA,NA,organic,O2,NA
20210724-E-T5_M,20210724-E-T5,24-Jul-21,acidic tundra,Transect,T5,E-T5,M,5,4.5,6,7,5.6,21.7,NA,NA,mineral,M,NA
20210724-E-T6_O,20210724-E-T6,24-Jul-21,acidic tundra,Transect,T6,E-T6,O,8.5,8.5,8.5,8,8.4,8.4,NA,NA,organic,O,NA
20210724-E-T6_M,20210724-E-T6,24-Jul-21,acidic tundra,Transect,T6,E-T6,M,9.5,10,9.5,8,9.3,17.7,NA,NA,mineral,M,NA
20210724-E-T7_O,20210724-E-T7,24-Jul-21,acidic tundra,Transect,T7,E-T7,O,2.5,2.5,2,2,2.3,2.3,NA,NA,organic,O,NA
20210724-E-T7_M,20210724-E-T7,24-Jul-21,acidic tundra,Transect,T7,E-T7,M,12.5,11,11,9.5,11,13.3,NA,NA,mineral,M,NA
20210724-E-T8_O1,20210724-E-T8,24-Jul-21,acidic tundra,Transect,T8,E-T8,O1,11.5,10,11,10,10.6,10.6,NA,NA,organic,O1,NA
20210724-E-T8_O2,20210724-E-T8,24-Jul-21,acidic tundra,Transect,T8,E-T8,O2,5.5,5.5,5,5,5.3,15.9,NA,NA,organic,O2,NA
